CÓDIGO_INSTITUCIÓN_PADRE,CÓDIGO_INSTITUCIÓN,# universidad,NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,CARÁCTER_ACADÉMICO,SECTOR,codigoprograma,NOMBRE_DEL_PROGRAMA,,,,,,,,,,,,,,,,
1105,1105,1,UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,Universidad,Oficial,1.1,ESPECIALIZACIÓN EN PEDAGOGIA,,,,,,,,,,,,,,,,
1105,1105,1,UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,Universidad,Oficial,1.2,MAESTRÍA EN ESTUDIOS CONTEMPORÁNEOS EN ENSEÑANZA DE LA BIOLOGÍA,,,,,,,,,,,,,,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.1,ESPECIALIZACIÓN EN ALTA GERENCIA DE EMPRESAS,,,,,,,,,,,,,SE ENCUENTRA LA CARRERA Y EL PLAN DE ESTUDIO ,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.2,ESPECIALIZACIÓN EN DIDÁCTICA DE LA MATEMÁTICA PARA LA EDUCACIÓN BÁSICA,,,,,,,,,,,,,SOLO SE ENCUENTRA LA CARRERA Y EL PLAN DE ESTUDIOS NO ,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.3,ESPECIALIZACIÓN EN GERENCIA DE EMPRESAS DE SALUD,,,,,,,,,,,,,NO SE ENCUENTRA LA CARRERA NI EL PLAN DE ESTUDIO ,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.4,ESPECIALIZACIÓN EN GESTIÓN DE INTEGRIDAD Y CORROSIÓN,,,,,,,,,,,,,,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.5,ESPECIALIZACIÓN EN PEDAGOGÍA DE LA LENGUA CASTELLANA Y LITERATURA,,,,,,,,,,,,,,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.6,MAESTRÍA EN DIDÁCTICA DE LA MATEMÁTICA,,,,,,,,,,,,,,,,
1106,1106,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.7,MAESTRÍA EN GESTIÓN DE INTEGRIDAD Y CORROSIÓN,,,,,,,,,,,,,,,,
1106,1107,2,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Universidad,Oficial,2.8,MAESTRÍA EN INNOVACIÓN Y MARKETING TURÍSTICO,,,,,,,,,,,,,,,,
1110,1110,3,UNIVERSIDAD DEL CAUCA,Activa,Universidad,Oficial,3.1,MAESTRÍA EN EDUCACIÓN SUPERIOR,,,,,,,,,,,,,,,,
1111,1111,4,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Universidad,Oficial,4.1,ESPECIALIZACIÓN EN ENSEÑANZA DE LA FÍSICA,,,,,,,,,,,,,,,,
1111,1111,4,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Universidad,Oficial,4.2,ESPECIALIZACIÓN EN GESTIÓN AMBIENTAL LOCAL,,,,,,,,,,,,,,,,
1111,1111,4,UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Universidad,Oficial,4.3,MAESTRÍA EN EDUCACIÓN,,,,,,,,,,,,,,,,
1114,1114,5,UNIVERSIDAD SURCOLOMBIANA,Activa,Universidad,Oficial,5.1,MAESTRIA EN PSICOLOGIA AMBIENTAL,,,,,,,,,,,,,,,,
1117,1117,6,UNIVERSIDAD MILITAR-NUEVA GRANADA,Activa,Universidad,Oficial,6.1,ESPECIALIZACIÓN EN ALTA GERENCIA,,,,,,,,,,,,,,,,
1119,1119,7,UNIVERSIDAD DE LOS LLANOS,Activa,Universidad,Oficial,7.1,ESPECIALIZACIÓN EN GESTIÓN DE PROYECTOS,,,,,,,,,,,,,,,,
1120,1120,8,UNIVERSIDAD POPULAR DEL CESAR,Activa,Universidad,Oficial,8.1,ESPECIALIZACIÓN EN PEDAGOGÍA AMBIENTAL,,,,,,,,,,,,,,,,
1120,1120,8,UNIVERSIDAD POPULAR DEL CESAR,Activa,Universidad,Oficial,8.2,ESPECIALIZACIÓN EN TIC PARA EL DISEÑO DE ESTRATEGIAS DIDÁCTICAS EN EDUCACIÓN,,,,,,,,,,,,,,,,
1120,1120,8,UNIVERSIDAD POPULAR DEL CESAR,Activa,Universidad,Oficial,8.3,MAESTRÍA EN EDUCACIÓN PARA EL DESARROLLO SOCIOCULTURAL,,,,,,,,,,,,,,,,
1120,1120,8,UNIVERSIDAD POPULAR DEL CESAR,Activa,Universidad,Oficial,8.4,MAESTRÍA EN PEDAGOGÍA AMBIENTAL PARA EL DESARROLLO SOSTENIBLE,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.1,ESPECIALIZACIÓN EN EVALUACIÓN ECONOMICA EN SALUD,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.2,ESPECIALIZACIÓN EN EXTENSIÓN RURAL,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.3,ESPECIALIZACIÓN EN GESTIÓN AMBIENTAL,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.4,ESPECIALIZACIÓN EN GESTION DE ACTIVOS,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.5,ESPECIALIZACION TECNOLOGICA EN REGENCIA DE FARMACIA,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.6,MAESTRÍA EN EDUCACIÓN,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.7,MAESTRIA EN ENSEÑANZA DE LAS MATEMATICAS,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.8,MAESTRÍA EN GESTIÓN AMBIENTAL,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.9,MAESTRIA EN POLITICAS PÚBLICAS ALIMENTARIAS Y NUTRICIONALES,,,,,,,,,,,,,,,,
1201,1201,9,UNIVERSIDAD DE ANTIOQUIA,Activa,Universidad,Oficial,9.10,MAESTRÍA EN TELESALUD,,,,,,,,,,,,,,,,
1204,1204,12,UNIVERSIDAD INDUSTRIAL DE SANTANDER,Activa,Universidad,Oficial,12.1,MAESTRIA EN INFORMATICA PARA LA EDUCACION,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.1,ESPECIALIZACIÓN EN DIDÁCTICA Y TIC,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.2,MAESTRIA EN ENFERMERÍA,,,,,,,,,,,,,,,,
1205,1205,13,UNIVERSIDAD DE CARTAGENA,Activa,Universidad,Oficial,13.3,MAESTRÍA EN RECURSOS DIGITALES APLICADOS A LA EDUCACIÓN,,,,,,,,,,,,,,,,
1206,1206,14,UNIVERSIDAD DE NARIÑO,Activa,Universidad,Oficial,14.1,MAESTRÍA EN EDUCACIÓN VIRTUAL,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.1,ESPECIALIZACIÓN EN EDUCACIÓN PARA LA DIVERSIDAD EN LA NIÑEZ,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.2,ESPECIALIZACIÓN EN FINANZAS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.3,ESPECIALIZACION EN GERENCIA DE INSTITUCIONES EDUCATIVAS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.4,ESPECIALIZACION EN GERENCIA DE PROYECTOS,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.5,MAESTRÍA EN PEDAGOGÍA DE LA LITERATURA,,,,,,,,,,,,,,,,
1207,1207,15,UNIVERSIDAD DEL TOLIMA,Activa,Universidad,Oficial,15.6,MAESTRÍA EN PEDAGOGÍA Y MEDIACIONES TECNOLÓGICAS,,,,,,,,,,,,,,,,
1209,1209,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.1,"ESPECIALIZACIÓN EN EDUCACIÓN, EMPRENDIMIENTO Y ECONOMÍA SOLIDARIA",,,,,,,,,,,,,,,,
1209,1209,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.2,MAESTRIA EN TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION (TIC) APLICADAS A LA EDUCACION,,,,,,,,,,,,,,,,
1209,1210,16,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Universidad,Oficial,16.4,ESPECIALIZACIÓN EN SISTEMAS DE GESTIÓN INTEGRAL HSEQ,,,,,,,,,,,,,,,,
