NOMBRE_INSTITUCIÓN,ESTADO_INSTITUCIÓN,SECTOR,codigoprograma,NOMBRE_DEL_PROGRAMA,Checked
UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,Oficial,1-1,Especialización En Pedagogia,Ok
UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,Oficial,1-2,Maestría En Estudios Contemporáneos En Enseñanza De La Biología,Ok
UNIVERSIDAD PEDAGOGICA NACIONAL,Activa,Oficial,1-3,Doctorado En Educación,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-1,Especialización En Alta Gerencia De Empresas,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-2,Especialización En Didáctica De La Matemática Para La Educación Básica,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-3,Especialización En Gerencia De Empresas De Salud,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-4,Especialización En Gestión De Integridad Y Corrosión,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-5,Especialización En Pedagogía De La Lengua Castellana Y Literatura,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-6,Maestría En Didáctica De La Matemática,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-7,Maestría En Gestión De Integridad Y Corrosión,Ok
UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,Activa,Oficial,2-8,Maestría en Agroindustria Alimentaria e Innovación,Ok
UNIVERSIDAD DEL CAUCA,Activa,Oficial,3-1,Maestría En Educación Superior,Ok
UNIVERSIDAD DEL CAUCA,Activa,Oficial,3-2,Doctorado En Ciencias De La Computación,Ok
UNIVERSIDAD DEL CAUCA,Activa,Oficial,3-3,Especialización En Agroindustria,Ok
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Oficial,4-1,Especialización En Enseñanza De La Física,Ok
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Oficial,4-2,Especialización En Gestión Ambiental Local,Ok
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP,Activa,Oficial,4-3,Maestría En Educación,Ok
UNIVERSIDAD SURCOLOMBIANA,Activa,Oficial,5-1,Maestria En Psicologia Ambiental,Ok
UNIVERSIDAD MILITAR-NUEVA GRANADA,Activa,Oficial,6-1,Especialización En Alta Gerencia,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-1,Especialización En Evaluación Economica En Salud,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-2,Especialización En Extensión Rural,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-4,Especialización En Gestion De Activos,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-5,Especializacion Tecnologica En Regencia De Farmacia,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-6,Maestría En Educación,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-7,Maestria En Enseñanza De Las Matematicas,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-8,Maestría En Gestión Ambiental,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-9,Maestria En Politicas Públicas Alimentarias Y Nutricionales,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-10,Maestría En Telesalud,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-11,Doctorado En Ingeniería,Ok
UNIVERSIDAD DE ANTIOQUIA,Activa,Oficial,9-12,Doctorado En Física,Ok
UNIVERSIDAD DEL VALLE,Activa,Oficial,11-2,Doctorado En Administración,Ok
UNIVERSIDAD DEL VALLE,Activa,Oficial,11-3,Doctorado En Ciencias Quimica,Ok
UNIVERSIDAD DEL VALLE,Activa,Oficial,11-4,Maestría En Economía Aplicada,Ok
UNIVERSIDAD DEL VALLE,Activa,Oficial,11-5,Maestría En Estadística,Ok
UNIVERSIDAD DEL VALLE,Activa,Oficial,11-6,Maestría En Psicología,Ok
UNIVERSIDAD DE CARTAGENA,Activa,Oficial,13-1,Especialización En Didáctica Y Tic,Ok
UNIVERSIDAD DE CARTAGENA,Activa,Oficial,13-2,Maestria En Enfermería,Ok
UNIVERSIDAD DE CARTAGENA,Activa,Oficial,13-3,Maestría En Recursos Digitales Aplicados A La Educación,Ok
UNIVERSIDAD DE NARIÑO,Activa,Oficial,14-1,Maestría En Educación Virtual,Ok
UNIVERSIDAD DE NARIÑO,Activa,Oficial,14-2,Maestría En Estadística Aplicada,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-1,Especialización En Educación Para La Diversidad En La Niñez,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-2,Especialización En Finanzas,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-3,Especializacion En Gerencia De Instituciones Educativas,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-4,Especializacion En Gerencia De Proyectos,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-5,Maestría En Pedagogía De La Literatura,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-6,Maestría En Pedagogía Y Mediaciones Tecnológicas,Ok
UNIVERSIDAD DEL TOLIMA,Activa,Oficial,15-7,Doctorado En Planificación Y Manejo Ambiental De Cuencas Hidrográficas,Ok
UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Activa,Oficial,16-1,"Especialización En Educación, Emprendimiento Y Economía Solidaria",Ok
UNIVERSIDAD DE PAMPLONA,Activa,Oficial,17-1,Maestría En Administración,Ok
UNIVERSIDAD DE PAMPLONA,Activa,Oficial,17-2,Maestría En Ciencias Económicas Y Empresariales,Ok
UNIVERSIDAD DE PAMPLONA,Activa,Oficial,17-3,Maestría En Educación,Ok
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Oficial,18-1,Especializacion En Docencia Universitaria,Ok
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Oficial,18-2,Especializacion En Gestion Y Legislacion Ambiental,Ok
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Oficial,18-3,Maestria En Argumentacion Juridica,Ok
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Oficial,18-4,Maestría En Escrituras Audiovisuales,Ok
UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,Activa,Oficial,18-5,Maestria En Produccion Audiovisual Creativa,Ok
UNIVERSIDAD DE CUNDINAMARCA-UDEC,Activa,Oficial,19-1,Especialización En Gestión De Sistemas De Información Gerencial.,Ok
UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS,Activa,Oficial,20-1,Maestría En Educación En Tecnología,Ok
